Author,Identifier,Wetland_Comparison,meanControl,STDControl,STDErrorControl,nControl,meanStart,STDStart,STDErrorStart,nStart
"Ge et al., 2019",1st Year,Pyrite,75.20,30.80,4.27,52,78.90,25.10,3.48,52
"Ge et al., 2019",2nd Year,Pyrite,48.30,15.20,2.11,52,59.70,14.50,2.01,52
"Ge et al., 2019",3rd Year,Pyrite,56.50,18.70,2.59,52,69.70,20.40,2.83,52
"Stefanlos and Tsihrintzis, 2009",MG-C unit,Recircualtion,58.40,22.40,0.90,624,43.90,34.60,1.39,624
"Stefanlos and Tsihrintzis, 2009",FG-R unit,Recircualtion,81.30,14.70,0.83,312,61.00,26.00,1.47,312
"Tao et al., 2010",Summer,Aerated,66.40,6.52,0.34,365,68.99,4.04,0.21,365
"Tao et al., 2010",Fall,Aerated,69.92,5.18,0.27,365,71.88,3.93,0.21,365
"Tao et al., 2010",Winter,Aerated,51.59,3.42,0.18,365,58.53,3.73,0.20,365
"Tao et al., 2010",Spring,Aerated,56.05,3.83,0.20,365,63.19,4.35,0.23,365
"Wang et al., 2022",Stage I,Sulfur,71.16,9.87,2.85,12,70.87,8.49,2.45,12
"Wang et al., 2022",Stage II,Sulfur,46.34,3.68,1.06,12,71.16,9.87,2.85,12
"Wang et al., 2022",Stage III,Sulfur,40.89,4.61,1.33,12,69.36,3.97,1.15,12
"Wang et al., 2022",Stage IV,Sulfur,45.60,2.33,0.65,13,85.26,3.07,0.85,13
"Wang et al., 2023",Start-up,SulfurSiderite,46.21,5.64,0.56,102,67.51,15.87,1.57,102
"Wang et al., 2023",Stable,SulfurSiderite,48.18,7.80,0.45,306,87.51,2.3,0.13,306
"Wang et al., 2023",Low temperature,SulfurSiderite,41.45,8.52,0.73,138,76.24,5.4,0.46,138
"Xiong et al., 2011",Type,FloatingBed,70.89,10.47,2.70,15,82.19,7.11,1.84,15
"Xiong et al., 2011",Type,SandFilterTank,70.89,10.47,2.70,15,91.32,4.14,1.07,15
"Zhang et al., 2010",APCW,AeratedPlanted,36.80,5.70,1.16,24,86.00,5.60,1.14,24
"Zhang et al., 2010",PCW,Planted,36.80,5.70,1.16,24,73.80,8.20,1.67,24
"Zhang et al., 2010",ACW,Aerated,36.80,5.70,1.16,24,76.90,8.20,1.67,24
